arrival_ts,predicted_arrival,diff
434,432.421875,1.578125
698,691.25,6.75
925,913.2954545454545,11.704545454545496
1195,1192.5243902439024,2.475609756097583
1421,1421.7142857142858,-0.7142857142857792
1620,1621.5625,-1.5625
2051,2022.4545454545455,28.545454545454504
2124,2121.3870967741937,2.612903225806349
2238,2235.157894736842,2.8421052631579187
2423,2424.8991596638657,-1.899159663865703
2697,2700.78021978022,-3.780219780219795
2806,2806.078125,-0.078125
2985,2973.3888888888887,11.611111111111313
3118,3117.8591549295775,0.1408450704225288
3357,3356.5,0.5
3488,3491.1684210526314,-3.168421052631402
3654,3649.3809523809523,4.619047619047706
3843,3843.4892086330933,-0.48920863309331253
3983,3984.6153846153848,-1.6153846153847553
4126,4124.010101010101,1.9898989898993023
4257,4250.644736842105,6.355263157895024
4405,4407.44347826087,-2.443478260869597
4549,4542.836065573771,6.163934426229389
4689,4689.896825396825,-0.8968253968250792
4839,4840.391304347826,-1.3913043478260079
4977,4976.60396039604,0.3960396039601619
5121,5122.202127659574,-1.2021276595742165
5263,5261.512,1.4880000000002838
5389,5391.861111111111,-2.861111111111313
5534,5533.621428571429,0.3785714285713766
5686,5688.259842519685,-2.259842519684753
5851,5855.193939393939,-4.1939393939392176
6050,6050.323529411765,-0.3235294117648664
6238,6242.374269005848,-4.374269005847964
6398,6403.6328125,-5.6328125
6580,6581.743119266055,-1.743119266055146
6796,6796.831395348837,-0.8313953488368497
6932,6934.645502645502,-2.645502645502347
7127,7131.900709219858,-4.900709219858072
7294,7293.540697674419,0.4593023255811204
7510,7511.903381642512,-1.9033816425117038
7754,7757.3629343629345,-3.3629343629345385
7869,7871.1036585365855,-2.103658536585499
7982,7985.8388888888885,-3.838888888888505
8124,8127.446327683616,-3.446327683615891
8251,8252.586854460094,-1.5868544600944006
8399,8399.12077294686,-0.12077294686059759
8543,8546.595348837209,-3.595348837208803
8697,8698.51030927835,-1.510309278350178
8813,8816.0,-3.0
8951,8953.5445026178,-2.54450261780039
9113,9111.959390862945,1.0406091370550712
9244,9245.43274853801,-1.4327485380108556
9368,9370.03947368421,-2.039473684209952
9508,9510.286363636364,-2.2863636363636033
9638,9637.12962962963,0.8703703703704377
9778,9777.281553398057,0.7184466019425599
9907,9906.538116591928,0.4618834080720262
10061,10062.31862745098,-1.3186274509807845
10180,10183.739669421488,-3.7396694214876334
10330,10329.059782608696,0.9402173913040315
10462,10462.614973262032,-0.6149732620324357
10618,10618.057777777778,-0.057777777778028394
10759,10759.495412844037,-0.495412844036764
10876,10878.329670329671,-2.3296703296709893
11021,11022.671717171717,-1.6717171717173187
11171,11173.677725118483,-2.6777251184830675
11294,11295.215277777777,-1.2152777777773736
11491,11490.972350230415,0.027649769584968453
11632,11632.484662576688,-0.48466257668769686
11774,11772.373333333333,1.6266666666670062
11936,11938.931578947368,-2.9315789473675977
12082,12082.994117647058,-0.9941176470583741
12218,12212.973451327434,5.026548672565696
12487,12489.685714285713,-2.685714285713402
12575,12585.910344827586,-10.910344827585504
12681,12686.872180451128,-5.872180451127861
12824,12825.940476190477,-1.9404761904770567
12963,12964.787234042553,-1.7872340425528819
13105,13108.75,-3.75
13284,13277.173469387755,6.826530612244824
13559,13557.561403508771,1.4385964912289637
13646,13647.747967479674,-1.7479674796741165
13789,13793.0234375,-4.0234375
13971,13973.87951807229,-2.8795180722900113
14146,14147.555555555555,-1.5555555555547471
14304,14307.55,-3.5499999999992724
14459,14459.766666666666,-0.7666666666664241
14715,14717.485714285714,-2.4857142857144936
14952,14958.102040816326,-6.102040816325825
15066,15063.842105263158,2.1578947368416266
15183,15185.214285714286,-2.214285714286234
15362,15354.955223880597,7.044776119402741
15610,15613.562913907284,-3.5629139072843827
15865,15865.783333333333,-0.7833333333328483
16107,16108.455357142857,-1.455357142856883
16452,16455.54193548387,-3.541935483870475
16660,16656.46902654867,3.530973451328464
16962,16962.70634920635,-0.7063492063498416
17248,17248.0,0.0
17550,17546.702898550724,3.2971014492759423
17862,17863.365384615383,-1.3653846153829363
18152,18152.362068965518,-0.3620689655181195
18429,18428.90163934426,0.09836065573836095
18698,18700.91851851852,-2.9185185185197042
18927,18924.30693069307,2.6930693069298286
19142,19124.129032258064,17.8709677419356
19551,19551.90070921986,-0.9007092198589817
19748,19746.075757575756,1.9242424242438574
20051,20049.280701754386,1.7192982456144819
20340,20338.295454545456,1.7045454545441316
20646,20646.503703703704,-0.5037037037036498
20952,20954.2,-2.2000000000007276
21244,21247.686440677968,-3.6864406779677665
21545,21548.309734513274,-3.3097345132737246
21845,21847.84375,-2.84375
22142,22143.188034188035,-1.1880341880350898
22448,22449.330188679247,-1.3301886792469304
22753,22756.633027522937,-3.633027522937482
23040,23037.947368421053,2.0526315789466025
23343,23344.8,-1.7999999999992724
23662,23661.22988505747,0.7701149425301992
23962,23960.405660377357,1.5943396226430195
24245,24244.84677419355,0.15322580645079142
24543,24545.66371681416,-2.66371681416058
24842,24838.97701149425,3.022988505748799
25141,25140.504761904762,0.49523809523816453
25445,25441.852272727272,3.147727272727934
25757,25758.764150943396,-1.7641509433960891
26065,26064.909090909092,0.09090909090809873
26354,26354.117647058825,-0.1176470588252414
26640,26641.527131782947,-1.527131782946526
26929,26930.61,-1.610000000000582
27242,27239.94017094017,2.059829059828189
27539,27542.735042735043,-3.7350427350429527
27850,27853.365217391303,-3.365217391303304
28135,28133.116279069767,1.883720930232812
28439,28439.903703703705,-0.903703703705105
28744,28744.0625,-0.0625
29041,29040.478260869564,0.5217391304358898
29357,29356.970588235294,0.02941176470631035
29645,29638.602272727272,6.397727272727934
29937,29941.24778761062,-4.247787610620435
30252,30252.4578313253,-0.4578313253005035
30544,30544.339285714286,-0.339285714286234
30864,30859.84,4.1599999999998545
31197,31195.75,1.25
31545,31540.12162162162,4.878378378380148
31824,31817.106666666667,6.89333333333343
32147,32145.652173913044,1.3478260869560472
32418,32416.951807228917,1.0481927710825403
32733,32735.89,-2.889999999999418
33027,33025.066666666666,1.9333333333343035
33331,33333.70873786408,-2.708737864079012
33624,33622.71604938272,1.283950617282244
33915,33906.63636363636,8.363636363639671
34241,34240.458333333336,0.5416666666642413
34522,34510.68965517241,11.31034482758696
34825,34824.93233082707,0.06766917293134611
35131,35127.493506493505,3.506493506494735
